"RefDes","Name","Pattern","Center X (mm)","Center Y (mm)","Side","Rotation","Value","Origin X (mm)","Origin Y (mm)","Part Number (LCSC)","Part Number (Digi-Key)","Part Number (Mouser)","MP","Package"
"J2","B4B-XH-A(LF)(SN)","SHDRV4W64P250_4X1_1240X575H700","12.875","106.15","Top","90.0","LC1","13.4","109.9","C144395","","","",""
"J3","B6P-VH(LF)(SN)","JST_B6P-VH(LF)(SN)","14.4","79.6","Top","270.0","","14.95","79.6","","","","10164227-1004A1RLF",""
"J4","B6P-VH(LF)(SN)","JST_B6P-VH(LF)(SN)","14.447","54.6","Top","270.0","","14.997","54.6","","","","10164227-1004A1RLF",""
"J5","B4P-VH(LF)(SN)","JST_B4P-VH(LF)(SN)","14.45","33.25","Top","270.01","","15","33.25","","","","10164227-1004A1RLF",""
"J6","2-2387405-2","2387405-2","35","121.85","Top","180.0","Port_1","40","116.8","","","","",""
"J7","B2P-VH(LF)(SN)","JST_B2P-VH(LF)(SN)","39.7","14.25","Top","0.0","RPi/5V","39.7","14.5","","","","B2P-VH(LF)(SN)",""
"J8","B4P-VH(LF)(SN)","JST_B4P-VH(LF)(SN)","54.5","14.25","Top","0.0","","54.5","14.8","","","","10164227-1004A1RLF",""
"J9","B6P-VH(LF)(SN)","JST_B6P-VH(LF)(SN)","75.95","14.25","Top","0.01","","75.95","14.8","","","","10164227-1004A1RLF",""
"J10","2-2387405-2","2387405-2","85","121.85","Top","180.0","Port_1","90","116.8","","","","",""
"J11","B4P-VH(LF)(SN)","JST_B4P-VH(LF)(SN)","97.25","14.25","Top","0.0","","97.25","14.8","","","","10164227-1004A1RLF",""
"J12","PPTC041LFBN-RC","RHDRV4W80P254_4X1_1066X250H875_AP1","117.64","39.95","Top","180.0","ETH_LED","121.45","39.95","","S7002-ND","","",""
"J13","RJMG1331171C1ER","RJMG1331171C1ER","117.45","23.35","Top","0.0","","117.45","30.95","","","","",""
"J14","FTSH-105-01-X-DV-P-K-X","SAMTEC_FTSH-105-01-X-DV-P-K-X","121.85","55.05","Top","0.0","I2C","121.85","55.05","","","","FTSH-105-01-F-DV-K",""
"J15","2-2387405-2","2387405-2","135","121.85","Top","180.0","Port_1","140","116.8","","","","",""
"J16","B6B-XH-A(LF)(SN)","SHDRV6W64P250_6X1_1740X575H700","136.65","12.875","Top","180.0","RS422","130.4","13.4","C144397","","","",""
"J17","B4B-XH-A(LF)(SN)","SHDRV4W64P250_4X1_1240X575H700","121.85","46.425","Top","0.0","BUTTONS","125.6","45.9","C144395","","","",""
"J18","OSTVE043050","SHDRV4W110P381_4X1_1524X770H1130","154.365","14","Top","0.0","","148.65","13.45","","","","",""
